rank,name,pos,team,pos_rank,age,adp
43,Carnell Tate,WR,TEN,20,21,48.25
44,Kenneth Walker III,RB,KC,10,25,43.25
45,Breece Hall,RB,NYJ,11,25,53.75
46,Zay Flowers,WR,BAL,21,25,50.25
47,Makai Lemon,WR,PHI,22,22,72.5
48,Jaxson Dart,QB,NYG,13,23,25.5
49,Dak Prescott,QB,DAL,14,33,34.75
50,Jaylen Waddle,WR,DEN,23,27,59.5
51,Luther Burden III,WR,CHI,24,22,53.5
52,Jordyn Tyson,WR,NO,25,22,55.25
53,Jared Goff,QB,DET,15,31,45.25
54,Colston Loveland,TE,CHI,3,22,34.75
55,Harold Fannin Jr.,TE,CLE,4,22,73.25
56,Tyler Warren,TE,IND,5,24,46.25
57,Travis Etienne Jr.,RB,NO,12,27,84.25
58,A.J. Brown,WR,NE,26,29,52.25
59,Jordan Love,QB,GB,16,27,36.25
60,Josh Jacobs,RB,GB,13,28,89.5
61,C.J. Stroud,QB,HOU,17,24,59.5
62,Saquon Barkley,RB,PHI,14,29,52
63,Sam LaPorta,TE,DET,6,25,81
64,Marvin Harrison Jr.,WR,ARI,27,24,76.25
65,Tucker Kraft,TE,GB,7,25,67
66,KC Concepcion,WR,CLE,28,21,82.5
67,Cam Ward,QB,TEN,18,24,59.5
68,Fernando Mendoza,QB,LV,19,22,52.5
69,Kyler Murray,QB,MIN,20,29,60.25
70,Chase Brown,RB,CIN,15,26,51.25
71,Kyle Pitts Sr.,TE,ATL,8,25,76.75
72,Javonte Williams,RB,DAL,16,26,83.5
73,Cam Skattebo,RB,NYG,17,24,67.5
74,Kyren Williams,RB,LAR,18,26,74
75,Baker Mayfield,QB,TB,21,31,62.75
76,Jameson Williams,WR,DET,29,25,74.5
77,Kenyon Sadiq,TE,NYJ,9,21,90.25
78,Bhayshul Tuten,RB,JAC,19,23,87.25
79,Brian Thomas Jr.,WR,JAC,30,23,58.5
80,Matthew Stafford,QB,LAR,22,38,72.75
81,Omar Cooper Jr.,WR,NYJ,31,22,116
82,Travis Hunter,WR,JAC,32,23,128.5
83,Sam Darnold,QB,SEA,23,29,76.75
84,Tyler Shough,QB,NO,24,26,67
85,Eli Stowers,TE,PHI,10,23,115.75
86,Christian Watson,WR,GB,33,27,81.5
87,Jadarian Price,RB,SEA,20,22,78.25
88,Bucky Irving,RB,TB,21,24,80.75
89,DK Metcalf,WR,PIT,34,28,104
90,Dalton Kincaid,TE,BUF,11,26,121
91,Alec Pierce,WR,IND,35,26,101.5
92,Jake Ferguson,TE,DAL,12,27,151
93,Denzel Boston,WR,CLE,36,22,131
94,Malik Willis,QB,MIA,25,27,93.75
95,Daniel Jones,QB,IND,26,29,83
96,Ty Simpson,QB,LAR,27,23,96.75
97,Quinshon Judkins,RB,CLE,22,22,57.75
98,Parker Washington,WR,JAC,37,24,86.25
99,Jakobi Meyers,WR,JAC,38,29,131.25
100,RJ Harvey,RB,DEN,23,25,111
101,TreVeyon Henderson,RB,NE,24,23,65.5
102,J.J. McCarthy,QB,MIN,28,23,184
103,Derrick Henry,RB,BAL,25,32,86.75
104,Dallas Goedert,TE,PHI,13,31,165
105,Ricky Pearsall,WR,SF,39,25,186.25
106,DJ Moore,WR,BUF,40,29,96.75
107,Wan'Dale Robinson,WR,TEN,41,25,121.5
108,Mike Evans,WR,SF,42,33,109.25
109,Davante Adams,WR,LAR,43,33,100.5
110,Tua Tagovailoa,QB,ATL,29,28,136.5
111,Rhamondre Stevenson,RB,NE,26,28,129
112,Josh Downs,WR,IND,44,25,104.5
113,D'Andre Swift,RB,CHI,27,27,97.25
114,Michael Pittman Jr.,WR,PIT,45,28,106
115,Blake Corum,RB,LAR,28,25,120.75
116,Jordan Addison,WR,MIN,46,24,95
117,Quentin Johnston,WR,LAC,47,24,116
118,Chris Godwin Jr.,WR,TB,48,30,130.25
119,Michael Wilson,WR,ARI,49,26,93
120,Terry McLaurin,WR,WAS,50,30,96.25
121,Jonah Coleman,RB,DEN,29,23,132.75
122,Courtland Sutton,WR,DEN,51,30,131.5
123,Jayden Reed,WR,GB,52,26,111.5
124,Oronde Gadsden II,TE,LAC,14,23,123.75
125,Antonio Williams,WR,WAS,53,22,135.25
126,Isaiah Likely,TE,NYG,15,26,111
127,Terrance Ferguson,TE,LAR,16,23,176.5
128,Troy Franklin,WR,DEN,54,23,228
129,Zach Charbonnet,RB,SEA,30,25,128.5
130,Jaylen Warren,RB,PIT,31,27,120
131,Rico Dowdle,RB,PIT,32,28,127
132,J.K. Dobbins,RB,DEN,33,27,147.5
133,Brandon Aiyuk,WR,SF,55,28,223.25
134,Germie Bernard,WR,PIT,56,22,155
135,Khalil Shakir,WR,BUF,57,26,133.75
136,Matthew Golden,WR,GB,58,23,101.25
137,David Montgomery,RB,HOU,34,29,102.75
138,Tyler Allgeier,RB,ARI,35,26,179
139,Bryce Young,QB,CAR,30,25,82.75
140,Romeo Doubs,WR,NE,59,26,150.75
141,Jalen McMillan,WR,TB,60,24,177.75
142,Rashid Shaheed,WR,SEA,61,27,183
143,George Kittle,TE,SF,17,32,119.25
144,Elijah Sarratt,WR,BAL,62,23,233.25
145,Chris Bell,WR,MIA,63,22,164.5
146,Stefon Diggs,WR,WAS,64,32,183.5
147,Chig Okonkwo,TE,WAS,18,26,170
148,Mark Andrews,TE,BAL,19,30,145.75
149,Chuba Hubbard,RB,CAR,36,27,133.75
150,Tony Pollard,RB,TEN,37,29,146.75
151,Eli Raridon,TE,NE,20,22,180.25
152,Jaylin Noel,WR,HOU,65,23,231.75
153,Tre' Harris,WR,LAC,66,24,143.75
154,De'Zhaun Stribling,WR,SF,67,23,134.25
155,Jayden Higgins,WR,HOU,68,23,117.75
156,Jacoby Brissett,QB,ARI,31,33,151.25
157,Jonathon Brooks,RB,CAR,38,23,109.25
158,Brenton Strange,TE,JAC,21,25,146.75
159,Juwan Johnson,TE,NO,22,29,202.5
160,Travis Kelce,TE,KC,23,36,158.25
161,Trey Benson,RB,ARI,39,24,227
162,Kyle Williams,WR,NE,69,23,240.5
163,Jordan Mason,RB,MIN,40,27,165.75
164,Xavier Worthy,WR,KC,70,23,123
165,Kyle Monangai,RB,CHI,41,24,117
166,T.J. Hockenson,TE,MIN,24,29,156.75
167,Tyrone Tracy Jr.,RB,NYG,42,26,166.25
168,Jacory Croskey-Merritt,RB,WAS,43,25,122
169,Kenny Gainwell,RB,TB,44,27,null
170,Chris Brazzell II,WR,CAR,71,22,218.5
171,Deebo Samuel Sr.,WR,SF,72,30,168.75
172,Jalen Coker,WR,CAR,73,24,142.25
173,Ted Hurst III,WR,TB,74,22,151.5
174,Brenen Thompson,WR,LAC,75,23,233
175,Jack Bech,WR,LV,76,23,233.75
176,Zachariah Branch,WR,ATL,77,22,161.25
177,Malachi Fields,WR,NYG,78,23,205.5
178,David Njoku,TE,LAC,25,30,235.25
179,Chris Rodriguez Jr.,RB,JAC,45,26,166.75
180,Calvin Ridley,WR,TEN,79,31,229.25
181,Tyreek Hill,WR,&nbsp;,80,32,null
182,Nicholas Singleton,RB,TEN,46,22,158.5
183,Kaytron Allen,RB,WAS,47,23,202
184,Dontayvion Wicks,WR,PHI,81,25,209.25
185,Mason Taylor,TE,NYJ,26,22,239.5
186,Emmett Johnson,RB,KC,48,22,181
187,Justin Joly,TE,DEN,27,22,null
188,Tanner Koziol,TE,JAC,28,22,null
189,Max Klare,TE,LAR,29,23,213
190,Oscar Delp,TE,NO,30,23,212.75
191,Mike Washington Jr.,RB,LV,49,23,183.75
192,Dylan Sampson,RB,CLE,50,21,190
193,Tory Horton,WR,SEA,82,23,227.75
194,Braelon Allen,RB,NYJ,51,22,216.5
195,Kayshon Boutte,WR,HOU,83,24,198.75
196,Pat Freiermuth,TE,PIT,31,27,219
197,Keon Coleman,WR,BUF,84,23,221.75
198,Eli Heidenreich,RB,PIT,52,23,235
199,Jauan Jennings,WR,MIN,85,29,225
200,Hunter Henry,TE,NE,32,31,193.25
201,Tre Tucker,WR,LV,86,25,209.25
202,Woody Marks,RB,HOU,53,25,160.75
203,Kaelon Black,RB,SF,54,24,207
204,Noah Gray,TE,KC,33,27,null
205,Theo Johnson,TE,NYG,34,25,null
206,Tez Johnson,WR,TB,87,24,null
207,Pat Bryant,WR,DEN,88,23,186
208,Kendre Miller,RB,NO,55,24,238
209,Isaac TeSlaa,WR,DET,89,24,198
210,Adonai Mitchell,WR,NYJ,90,23,187.75
211,Jerry Jeudy,WR,CLE,91,27,198.25
212,Ja'Kobi Lane,WR,BAL,92,22,185.75
213,James Conner,RB,ARI,56,31,null
214,Tyjae Spears,RB,TEN,57,25,158.75
215,Dalton Schultz,TE,HOU,35,30,239
216,Aaron Jones Sr.,RB,MIN,58,31,173.5
217,Kimani Vidal,RB,LAC,59,25,203.75
218,Shedeur Sanders,QB,CLE,32,24,184.25
219,Carson Beck,QB,ARI,33,23,186.25
220,AJ Barner,TE,SEA,36,24,208.5
221,Joe Mixon,RB,&nbsp;,60,30,null
222,Evan Engram,TE,DEN,37,31,239
223,Brian Robinson Jr.,RB,ATL,61,27,214.75
224,Alvin Kamara,RB,NO,62,31,181
225,Drew Allar,QB,PIT,34,22,197.75
226,Skyler Bell,WR,BUF,93,24,219.5
227,Cyrus Allen,WR,KC,94,23,197.25
228,Kevin Coleman Jr.,WR,MIA,95,22,null
229,Elijah Arroyo,TE,SEA,38,23,236.5
230,Tank Dell,WR,HOU,96,26,182.5
231,Emanuel Wilson,RB,SEA,63,27,235.25
232,Hollywood Brown,WR,PHI,97,null,null
233,Bryce Lance,WR,NO,98,24,null
234,Deion Burks,WR,IND,99,23,null
235,Jaylin Lane,WR,WAS,100,24,null
236,Darius Slayton,WR,NYG,101,29,239
237,Keenan Allen,WR,IND,102,34,223.75
238,Ryan Flournoy,WR,DAL,103,26,196.25
239,Jarquez Hunter,RB,MIA,64,23,null
240,Malik Washington,WR,MIA,104,25,184.25
241,Jake Tonges,TE,SF,39,27,232.5
242,DeMario Douglas,WR,NE,105,25,null
243,Chimere Dike,WR,TEN,106,24,214.5
244,Elic Ayomanor,WR,TEN,107,23,208.25
245,Michael Trigg,TE,DAL,40,24,null
246,John Michael Gyllenborg,TE,KC,41,24,null
247,KeAndre Lambert-Smith,WR,LAC,108,24,null
248,Treylon Burks,WR,WAS,109,26,null
249,Dae'Quan Wright,TE,&nbsp;,42,22,null
250,Darnell Mooney,WR,NYG,110,28,232.5
251,Keaton Mitchell,RB,LAC,65,24,169.5
252,Marvin Mims Jr.,WR,DEN,111,24,238.75
253,Cooper Kupp,WR,SEA,112,33,236.75
254,Cedric Tillman,WR,&nbsp;,113,26,null
255,Will Howard,QB,PIT,35,24,null
256,DJ Giddens,RB,IND,66,23,238.5
257,Xavier Legette,WR,CAR,114,25,235
258,Taylen Green,QB,CLE,36,23,239.75
259,Garrett Nussmeier,QB,KC,37,24,null
260,Jeff Caldwell,WR,KC,115,23,null
261,Caleb Douglas,WR,MIA,116,22,228.5
262,Sam Roush,TE,CHI,43,22,null
263,Riley Leonard,QB,IND,38,23,null
264,Sean Tucker,RB,TB,67,24,216.25
265,Rachaad White,RB,WAS,68,27,156
266,Jaylen Wright,RB,MIA,69,23,223.25
267,Ollie Gordon II,RB,MIA,70,22,239
268,Isaiah Bond,WR,CLE,117,22,null
269,Jack Endries,TE,CIN,44,22,null
270,Devaughn Vele,WR,NO,118,28,null
271,Mike Gesicki,TE,CIN,45,30,null
272,Ray Davis,RB,BUF,71,26,210.25
273,Devin Neal,RB,NO,72,23,null
274,Ben Sinnott,TE,WAS,46,24,null
275,Eric McAlister,WR,&nbsp;,119,null,null
276,Josh Cameron,WR,JAC,120,23,null
277,Cade Otton,TE,TB,47,27,240.5
278,Gunnar Helm,TE,TEN,48,23,187.75
279,Tank Bigsby,RB,PHI,73,23,167.75
280,Seth McGowan,RB,IND,74,24,null
281,Darnell Washington,TE,PIT,49,25,null
282,Zavion Thomas,WR,CHI,121,22,235.25
283,Jaydn Ott,RB,KC,75,23,null
284,Kaleb Johnson,RB,PIT,76,23,235.75
285,Rashod Bateman,WR,BAL,122,26,218.25
286,George Holani,RB,SEA,77,26,237.75
287,Dawson Knox,TE,BUF,50,29,null
288,Jawhar Jordan,RB,HOU,78,27,null
289,Erick All Jr.,TE,CIN,51,25,null
290,Jonnu Smith,TE,GB,52,31,null
291,Tyren Montgomery,WR,TEN,123,25,null
292,Ja'Tavion Sanders,TE,CAR,53,23,null
293,Konata Mumpfield,WR,LAR,124,23,null
294,Colby Parkinson,TE,LAR,54,27,null
295,Andrei Iosivas,WR,CIN,125,26,null
296,Luke McCaffrey,WR,WAS,126,25,null
297,Darren Waller,TE,CAR,55,33,null
298,Zach Ertz,TE,&nbsp;,56,35,null
299,Brevin Jordan,TE,HOU,57,26,null
300,Cole Kmet,TE,CHI,58,27,null
301,Isaiah Davis,RB,NYJ,79,24,null
302,Najee Harris,RB,NYG,80,28,null
303,Tyler Higbee,TE,LAR,59,33,null
304,Savion Williams,WR,GB,127,24,null
305,Isiah Pacheco,RB,DET,81,27,183
306,Demond Claiborne,RB,MIN,82,22,168.75
307,J'Mari Taylor,RB,JAC,83,24,null
308,Brashard Smith,RB,KC,84,23,null
309,Michael Mayer,TE,LV,60,25,null
310,Adam Randall,RB,BAL,85,22,229.25
311,Efton Chism III,WR,NE,128,24,null
312,Aaron Anderson,WR,&nbsp;,129,23,null
313,Austin Hooper,TE,ATL,61,31,null
314,Jalen Royals,WR,KC,130,23,null
315,Luke Musgrave,TE,GB,62,25,null
316,DeAndre Hopkins,WR,BAL,131,34,null
317,Noah Fant,TE,NO,63,28,null
318,Barion Brown,WR,NO,132,22,null
319,Dont'e Thornton Jr.,WR,LV,133,23,null
320,Kendrick Bourne,WR,ARI,134,31,null
321,Roman Hemby,RB,LV,86,24,null
322,Tyler Conklin,TE,DET,64,31,null
323,Audric Estime,RB,NO,87,22,null
324,Jalen Milroe,QB,SEA,39,23,230.5
325,Olamide Zaccheaus,WR,ATL,135,29,null
326,Joshua Palmer,WR,BUF,136,26,null
327,Jaydon Blue,RB,DAL,88,22,200
328,LeQuint Allen Jr.,RB,JAC,89,22,234.25
329,Greg Dulcich,TE,MIA,65,26,198.5
330,Christian Kirk,WR,SF,137,29,null
331,Will Dissly,TE,&nbsp;,66,30,null
332,Rahsul Faison,RB,&nbsp;,90,null,null
333,Austin Ekeler,RB,&nbsp;,91,31,null
334,Jelani Woods,TE,NYJ,67,27,null
335,Tutu Atwell,WR,LAR,138,26,null
336,Elijah Moore,WR,PHI,139,26,null
337,Nick Chubb,RB,&nbsp;,92,30,null
338,Diontae Johnson,WR,&nbsp;,140,30,null
339,Ja'Lynn Polk,WR,&nbsp;,141,24,null
340,Jermaine Burton,WR,&nbsp;,142,25,null
341,Jahan Dotson,WR,ATL,143,26,null
