Rank,Player,Pos,Team,Age,Value
170,Deshaun Watson,QB,CLE,31.0,1370
171,Jakobi Meyers,WR,JAX,29.8,1355
172,Juwan Johnson,TE,NO,30.0,1353
173,Pat Bryant,WR,DEN,23.7,1344
174,Kayshon Boutte,WR,NE,24.3,1342
175,Chris Rodriguez,RB,JAX,26.9,1327
176,Dalton Schultz,TE,HOU,30.2,1327
177,Tank Dell,WR,HOU,26.8,1325
178,Tre' Harris,WR,LAC,24.5,1321
179,Caleb Douglas,WR,MIA,23.0,1316
180,Jalen McMillan,WR,TB,24.7,1307
181,Ricky Pearsall,WR,SF,26.0,1306
182,Kaelon Black,RB,SF,24.9,1299
183,Aaron Rodgers,QB,PIT,42.8,1294
184,Deebo Samuel,WR,SF,30.6,1292
185,Braelon Allen,RB,NYJ,22.6,1289
186,Keaton Mitchell,RB,LAC,24.6,1286
187,Gunnar Helm,TE,TEN,24.0,1274
188,Hunter Henry,TE,NE,31.7,1257
189,Zachariah Branch,WR,ATL,22.4,1237
190,Tank Bigsby,RB,PHI,24.0,1236
191,Ted Hurst,WR,TB,22.2,1233
192,J.J. McCarthy,QB,MIN,23.6,1229
193,Malik Washington,WR,MIA,25.7,1219
194,Kirk Cousins,QB,LV,38.0,1219
195,Dontayvion Wicks,WR,PHI,25.2,1214
196,Germie Bernard,WR,PIT,22.8,1211
197,Aaron Jones,RB,MIN,31.8,1193
198,Adonai Mitchell,WR,NYJ,23.9,1192
199,Dylan Sampson,RB,CLE,22.0,1185
200,Brian Robinson,RB,ATL,27.5,1182
201,Jalen Nailor,WR,LV,27.5,1178
202,Isiah Pacheco,RB,DET,27.5,1166
203,Tre Tucker,WR,LV,25.5,1158
204,Tyjae Spears,RB,TEN,25.2,1128
205,Isaac TeSlaa,WR,DET,24.5,1121
206,Emmett Johnson,RB,KC,22.9,1108
207,Alvin Kamara,RB,NO,31.1,1099
208,Tyrone Tracy,RB,NYG,26.8,1098
209,Jaylin Noel,WR,HOU,24.0,1055
210,Eli Raridon,TE,NE,22.6,955
211,Keenan Allen,WR,IND,34.4,954
212,Keon Coleman,WR,BUF,23.3,941
213,Jerry Jeudy,WR,CLE,27.4,907
214,Greg Dulcich,TE,MIA,26.4,894
215,Mac Jones,QB,SF,28.0,894
216,Tory Horton,WR,SEA,23.8,887
217,Jaydon Blue,RB,DAL,22.7,874
218,Najee Harris,RB,NYG,28.5,871
219,Jauan Jennings,WR,MIN,29.2,861
220,Kaytron Allen,RB,WAS,23.7,850
221,Cade Otton,TE,TB,27.4,820
222,Jack Bech,WR,LV,23.7,818
223,Jaylen Wright,RB,MIA,23.4,755
224,Pat Freiermuth,TE,PIT,27.9,752
225,David Njoku,TE,LAC,30.2,751
226,Troy Franklin,WR,DEN,23.6,743
227,Elijah Arroyo,TE,SEA,23.4,731
228,Cade Klubnik,QB,NYJ,22.9,704
229,Demond Claiborne,RB,MIN,22.9,701
230,Kimani Vidal,RB,LAC,25.0,701
231,Skyler Bell,WR,BUF,24.2,694
232,Anthony Richardson,QB,IND,24.3,693
233,Elijah Sarratt,WR,BAL,23.3,686
234,Kaleb Johnson,RB,PIT,23.1,660
235,Seth McGowan,RB,IND,24.9,651
236,Ryan Flournoy,WR,DAL,26.9,651
237,Ollie Gordon,RB,MIA,22.6,648
238,Justin Fields,QB,KC,27.5,644
239,Mason Taylor,TE,NYJ,22.3,624
240,Elic Ayomanor,WR,TEN,23.3,624
241,Brandon Aiyuk,WR,SF,28.5,612
242,Darren Waller,TE,CAR,34.0,595
243,Jack Strand,QB,ATL,22.2,591
244,Kyle Williams,WR,NE,23.8,588
245,Michael Mayer,TE,LV,25.2,582
246,Tyreek Hill,WR,,32.5,577
247,Trey Benson,RB,ARI,24.1,570
248,Ray Davis,RB,BUF,26.8,566
249,Oscar Delp,TE,NO,23.1,555
250,Adam Randall,RB,BAL,22.1,552
251,Jordan James,RB,SF,22.4,551
252,Evan Engram,TE,DEN,32.0,539
253,James Conner,RB,ARI,31.3,529
254,Rashod Bateman,WR,BAL,26.8,527
255,Bryce Lance,WR,NO,24.0,519
256,Max Klare,TE,LAR,23.2,496
257,Jake Tonges,TE,SF,27.2,490
258,Jalen Milroe,QB,SEA,23.7,484
259,Darnell Mooney,WR,NYG,28.8,484
260,Cooper Kupp,WR,SEA,33.2,462
261,Devaughn Vele,WR,NO,28.7,456
262,Sean Tucker,RB,TB,24.9,453
263,Theo Johnson,TE,NYG,25.5,450
264,Barion Brown,WR,NO,22.7,444
265,Chimere Dike,WR,TEN,24.7,443
266,Chris Brazzell,WR,CAR,22.9,439
267,Joe Milton,QB,DAL,26.5,438
268,Calvin Ridley,WR,TEN,31.7,435
269,Justin Joly,TE,DEN,22.2,423
270,DJ Giddens,RB,IND,23.0,404
271,Malik Benson,WR,LV,23.9,397
272,Isaiah Davis,RB,NYJ,24.5,383
273,Zavion Thomas,WR,CHI,22.6,376
274,Justice Hill,RB,BAL,28.8,375
275,Xavier Legette,WR,CAR,25.6,368
276,LeQuint Allen,RB,JAX,22.1,332
277,Will Howard,QB,PIT,24.9,327
278,Colby Parkinson,TE,LAR,27.7,315
279,Emanuel Wilson,RB,SEA,27.3,310
280,Xavier Hutchinson,WR,HOU,26.3,300
281,Isaiah Bond,WR,CLE,22.5,300
282,Eli Heidenreich,RB,PIT,23.2,297
283,Haynes King,QB,CAR,25.6,283
284,Devin Neal,RB,NO,23.1,278
285,Brenen Thompson,WR,LAC,23.1,276
286,Matt Hibner,TE,BAL,24.5,273
287,Cole Payton,QB,PHI,23.9,273
288,Marlin Klein,TE,HOU,24.0,273
289,Marcus Mariota,QB,WAS,32.8,266
290,Jameis Winston,QB,NYG,32.7,265
291,Kevin Coleman,WR,MIA,23.0,258
292,DeMario Douglas,WR,NE,25.7,256
293,Christian Kirk,WR,SF,29.8,254
294,Cole Kmet,TE,CHI,27.5,252
295,Riley Leonard,QB,IND,24.0,246
296,Marvin Mims,WR,DEN,24.5,246
297,Malik Davis,RB,DAL,27.8,242
298,Jalen Royals,WR,KC,23.5,242
299,Tez Johnson,WR,TB,24.3,239
300,George Holani,RB,SEA,26.7,236
301,Joe Flacco,QB,CIN,41.6,236
302,Mike Gesicki,TE,CIN,30.9,229
303,Odell Beckham,WR,NYG,33.8,224
304,Jahan Dotson,WR,ATL,26.5,224
305,Josh Cameron,WR,JAX,23.5,221
306,Ja'Tavion Sanders,TE,CAR,23.4,220
307,Trevor Etienne,RB,CAR,22.2,218
308,Quinn Ewers,QB,MIA,23.5,214
309,Roman Wilson,WR,PIT,25.2,214
310,Tahj Brooks,RB,CIN,24.3,210
311,Tyquan Thornton,WR,KC,26.1,209
312,Samaje Perine,RB,CIN,31.0,201
313,Colbie Young,WR,CIN,24.1,195
314,Taylen Green,QB,CLE,23.9,195
315,Jarquez Hunter,RB,LAR,23.7,189
316,J'Mari Taylor,RB,JAX,24.5,174
317,Brashard Smith,RB,KC,23.4,174
318,Deion Burks,WR,IND,23.7,172
319,Dawson Knox,TE,BUF,29.8,170
320,Emari Demercado,RB,KC,27.6,168
321,Savion Williams,WR,GB,24.8,168
322,Andrei Iosivas,WR,CIN,26.9,168
323,CJ Daniels,WR,LAR,24.7,167
324,Darnell Washington,TE,PIT,25.0,167
325,Chris Brooks,RB,GB,26.6,165
326,Dont'e Thornton,WR,LV,23.8,151
327,Ben Sinnott,TE,WAS,24.2,151
328,Camden Brown,WR,DAL,,149
329,Erick All,TE,CIN,26.0,149
330,Jaylin Lane,WR,WAS,24.3,146
331,Treylon Burks,WR,WAS,26.4,135
332,Dean Connors,RB,LAR,23.0,131
333,Kendre Miller,RB,NO,24.2,131
334,Michael Trigg,TE,DAL,24.2,130
335,Garrett Nussmeier,QB,KC,24.6,129
336,Jam Miller,RB,NE,,125
337,Jalen Tolbert,WR,MIA,27.5,124
338,Cedric Tillman,WR,CLE,26.4,118
339,Robert Henry,RB,WAS,24.7,116
340,Tyson Bagent,QB,CHI,26.2,116
341,Will Kacmarek,TE,MIA,23.6,115
342,Luke Musgrave,TE,GB,26.0,109
343,Will Levis,QB,TEN,27.2,105
344,Luke McCaffrey,WR,WAS,25.4,105
345,Spencer Rattler,QB,NO,25.9,103
346,Noah Fant,TE,NO,28.8,103
347,Tyrod Taylor,QB,GB,37.1,101
348,Charlie Kolar,TE,LAC,27.6,99
349,Isaac Guerendo,RB,SF,26.2,99
350,Tanner Koziol,TE,JAX,22.6,98
