Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
171,Hunter Henry,TE,NE,131.6,171,,12
172,Ryan Flournoy,WR,DAL,238,172,Sleeper,12
173,Cyrus Allen,WR,KC,200.2,173,"Sleeper, Target",12
174,Emari Demercado,RB,DAL,313.4,174,,12
175,Ja'Kobi Lane,WR,BAL,175,175,,12
176,Fernando Mendoza,QB,LV,119.8,176,,12
177,Kendre Miller,RB,NO,287.3,177,,12
178,Brenton Strange,TE,JAX,148.2,178,Avoid,12
179,Chris Bell,WR,MIA,233.3,179,,12
180,Calvin Ridley,WR,TEN,259.2,181,Avoid,12
181,Shedeur Sanders,QB,CLE,211.9,182,,12
182,Aaron Jones Sr.,RB,MIN,134.6,183,Avoid,12
183,Michael Penix Jr.,QB,ATL,206.5,184,,12
184,Keenan Allen,WR,IND,197.6,185,,12
185,Jack Bech,WR,LV,287.6,186,,12
186,Germie Bernard,WR,PIT,245.1,187,,12
187,Omar Cooper Jr.,WR,NYJ,187.1,188,,12
188,Zachariah Branch,WR,ATL,220.1,189,,12
189,Greg Dulcich,TE,MIA,231.3,190,,12
190,Antonio Williams,WR,WAS,246.4,191,Sleeper,12
191,Kaelon Black,RB,SF,194.1,192,,12
192,Travis Hunter,WR,JAX,185.1,193,,12
193,Darnell Mooney,WR,NYG,291.6,194,,12
194,Cade Otton,TE,TB,232.5,195,,12
195,Jonah Coleman,RB,DEN,158.6,196,,12
196,Jauan Jennings,WR,MIN,213.2,197,Avoid,12
197,Zach Charbonnet,RB,SEA,156.8,198,,12
198,Dontayvion Wicks,WR,PHI,212.1,200,,12
199,Sean Tucker,RB,TB,260.4,201,,12
200,Troy Franklin,WR,DEN,286.7,202,High Upside,12
201,Eli Raridon,TE,NE,283.2,203,,12
202,Jalen Nailor,WR,LV,179.7,204,Boom/Bust,12
203,Dylan Sampson,RB,CLE,208.2,205,High Upside,12
204,Alvin Kamara,RB,NO,182.1,206,,12
205,Jerry Jeudy,WR,CLE,217.4,208,Boom/Bust,12
206,Michael Mayer,TE,LV,284.6,209,,12
207,T.J. Hockenson,TE,MIN,157.3,210,,12
208,Kaytron Allen,RB,WAS,253.9,211,,12
209,Demond Claiborne,RB,MIN,258.1,212,,12
210,Ted Hurst III,WR,TB,254.9,213,,12
211,Tre' Harris,WR,LAC,242.6,214,,12
212,James Conner,RB,ARI,222,215,Avoid,12
213,Elijah Sarratt,WR,BAL,290.5,216,,12
214,Jahan Dotson,WR,ATL,291.1,217,,12
215,Samaje Perine,RB,CIN,269.1,218,High Upside,12
216,Oronde Gadsden II,TE,LAC,147.3,219,Avoid,12
217,Cooper Kupp,WR,SEA,233.1,220,,12
218,Emanuel Wilson,RB,SEA,293.8,221,,12
219,Colby Parkinson,TE,LAR,255,222,,12
220,Elijah Arroyo,TE,SEA,276.1,223,,12
221,Nicholas Singleton,RB,TEN,219.9,224,,12
222,LeQuint Allen Jr.,RB,JAX,298.1,225,,12
223,Darren Waller,TE,CAR,228.8,226,,12
224,Malik Washington,WR,MIA,201.4,227,,12
225,AJ Barner,TE,SEA,184.9,228,,12
