Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
31,Tua Tagovailoa,QB,ATL,178.5,133,,12
32,Deshaun Watson,QB,CLE,211.4,139,,12
33,Fernando Mendoza,QB,LV,106.9,177,,12
34,Shedeur Sanders,QB,CLE,186.7,183,,12
35,Michael Penix Jr.,QB,ATL,215.3,185,,12
36,Carson Beck,QB,ARI,224.1,,,
37,Ty Simpson,QB,LAR,239.8,,,
38,Will Howard,QB,PIT,240.9,,,
39,Quinn Ewers,QB,MIA,258.6,,,
40,J.J. McCarthy,QB,MIN,260.3,,,
1,Jahmyr Gibbs,RB,DET,1.8,1,"Target, High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2.9,2,"Target, High Upside, Safe",1
3,Christian McCaffrey,RB,SF,7.6,6,"High Upside, Target",1
4,James Cook III,RB,BUF,12.1,7,"Target, High Upside, Safe",1
5,Jonathan Taylor,RB,IND,8,15,,2
6,Kenneth Walker III,RB,KC,22.5,16,"High Upside, Target",2
7,Saquon Barkley,RB,PHI,19.8,17,"High Upside, Safe",2
8,Chase Brown,RB,CIN,26.8,18,"Target, High Upside",2
9,Derrick Henry,RB,BAL,30.3,23,Boom/Bust,3
10,De'Von Achane,RB,MIA,17.1,24,,3
11,Javonte Williams,RB,DAL,48.9,37,"Safe, Target",5
12,Ashton Jeanty,RB,LV,16.1,38,"High Upside, Safe",4
13,Josh Jacobs,RB,GB,39.2,39,"High Upside, Boom/Bust",5
14,Omarion Hampton,RB,LAC,23.7,41,High Upside,5
15,Kyren Williams,RB,LAR,42.5,46,"Safe, Avoid",7
16,Jeremiyah Love,RB,ARI,33.1,47,High Upside,7
17,Breece Hall,RB,NYJ,43.4,48,High Upside,7
18,Travis Etienne Jr.,RB,NO,58.9,51,Safe,7
19,David Montgomery,RB,HOU,67,52,"Safe, Target",7
20,D'Andre Swift,RB,CHI,65.9,59,"Safe, Target",7
21,Bhayshul Tuten,RB,JAX,74.3,60,"Target, High Upside, Boom/Bust",8
22,Quinshon Judkins,RB,CLE,66.8,69,"Boom/Bust, Avoid",8
23,Jadarian Price,RB,SEA,84.2,72,Target,8
24,Rhamondre Stevenson,RB,NE,92.1,73,Safe,8
25,J.K. Dobbins,RB,DEN,109.6,74,Avoid,8
26,Bucky Irving,RB,TB,52.9,77,Avoid,8
27,Jordan Mason,RB,MIN,125.6,78,"Target, Sleeper",10
28,Jonathon Brooks,RB,CAR,116.7,96,"Target, High Upside, Sleeper",10
29,Jaylen Warren,RB,PIT,83.2,97,Target,10
30,TreVeyon Henderson,RB,NE,64,104,"Avoid, High Upside, Boom/Bust",11
31,Tony Pollard,RB,TEN,98,107,,11
32,Jacory Croskey-Merritt,RB,WAS,129.1,108,"Sleeper, Boom/Bust, High Upside",12
33,Cam Skattebo,RB,NYG,56,116,"Avoid, Boom/Bust",7
34,Blake Corum,RB,LAR,112.8,119,,12
35,Tank Bigsby,RB,PHI,188.9,120,High Upside,12
36,Rico Dowdle,RB,PIT,100.7,121,Boom/Bust,12
37,RJ Harvey,RB,DEN,88.3,134,"Avoid, Boom/Bust, High Upside",12
38,Kenny Gainwell,RB,TB,124.9,135,"Target, Sleeper",12
39,Rachaad White,RB,WAS,138.1,136,,12
40,Keaton Mitchell,RB,LAC,181.1,137,"Sleeper, High Upside",12
41,Tyjae Spears,RB,TEN,160.3,140,"Sleeper, High Upside, Target",12
42,MarShawn Lloyd,RB,GB,205.7,146,"Target, High Upside",12
43,Chuba Hubbard,RB,CAR,102.8,148,Avoid,12
44,Ray Davis,RB,BUF,237.4,149,"Target, High Upside",12
45,Kyle Monangai,RB,CHI,110.9,150,Avoid,12
46,George Holani,RB,SEA,289.9,152,,12
47,Tyler Allgeier,RB,ARI,141.5,155,,12
48,Jaydon Blue,RB,DAL,238.5,156,,12
49,Chris Rodriguez Jr.,RB,JAX,149.5,159,,12
50,Mike Washington Jr.,RB,LV,177.2,161,,12
51,Kaelon Black,RB,SF,212.1,162,,12
52,Najee Harris,RB,NYG,250.9,163,,12
53,Jonah Coleman,RB,DEN,159.6,167,,12
54,Woody Marks,RB,HOU,153,170,Avoid,12
55,Emmett Johnson,RB,KC,192.1,175,,12
56,Emari Demercado,RB,KC,313.4,178,,12
57,Tyrone Tracy Jr.,RB,NYG,157.7,181,,12
58,Aaron Jones Sr.,RB,MIN,133.4,193,Avoid,12
59,Dylan Sampson,RB,CLE,191.8,197,High Upside,12
60,Samaje Perine,RB,CIN,286.5,199,High Upside,12
61,Sean Tucker,RB,TB,262.1,202,,12
62,Alvin Kamara,RB,NO,161.5,206,,12
63,James Conner,RB,ARI,195.8,207,Avoid,12
64,Kaytron Allen,RB,WAS,240.1,208,,12
65,Emanuel Wilson,RB,SEA,278.6,212,,12
66,LeQuint Allen Jr.,RB,JAX,304.9,213,,12
67,Nicholas Singleton,RB,TEN,224.8,216,,12
68,Trey Benson,RB,ARI,244.9,219,,12
69,Braelon Allen,RB,NYJ,220.1,222,,12
70,Zach Charbonnet,RB,SEA,155,225,,12
71,Joe Mixon,RB,,317.3,226,,12
72,Kaleb Johnson,RB,PIT,316.6,230,,12
1,Ja'Marr Chase,WR,CIN,4.1,4,"Target, High Upside",1
2,Puka Nacua,WR,LAR,5.4,5,"High Upside, Target",1
3,Amon-Ra St. Brown,WR,DET,11,12,"Target, High Upside, Safe",2
4,Jaxon Smith-Njigba,WR,SEA,6.8,13,High Upside,2
5,Justin Jefferson,WR,MIN,15.5,26,"High Upside, Target",3
6,Chris Olave,WR,NO,35,28,"Target, High Upside",4
7,Drake London,WR,ATL,25.7,31,Safe,3
8,George Pickens,WR,DAL,31.4,33,"Target, High Upside",4
9,CeeDee Lamb,WR,DAL,13.8,34,"High Upside, Safe",4
10,Nico Collins,WR,HOU,29.9,36,High Upside,4
11,Malik Nabers,WR,NYG,34.5,40,"Boom/Bust, Target, High Upside",5
12,A.J. Brown,WR,NE,26.2,42,"High Upside, Target",5
13,Tee Higgins,WR,CIN,47.3,43,"Target, High Upside",5
14,DeVonta Smith,WR,PHI,51.5,44,"Target, High Upside, Safe",5
15,Garrett Wilson,WR,NYJ,55.6,45,"Safe, High Upside, Target",6
16,Jaylen Waddle,WR,DEN,59.2,50,"Target, High Upside, Safe",7
17,Rashee Rice,WR,KC,35.5,53,High Upside,7
18,Luther Burden III,WR,CHI,60,54,"High Upside, Target",7
19,Zay Flowers,WR,BAL,50.5,55,"High Upside, Safe, Target",7
20,Emeka Egbuka,WR,TB,57.2,56,"High Upside, Avoid",7
21,Mike Evans,WR,SF,76,57,"High Upside, Target",7
22,Ladd McConkey,WR,LAC,53,58,"Target, High Upside, Boom/Bust",7
23,Christian Watson,WR,GB,81,61,"Target, High Upside",7
24,Rome Odunze,WR,CHI,80.9,63,"High Upside, Target",7
25,Parker Washington,WR,JAX,87.9,64,"Target, High Upside",7
26,DJ Moore,WR,BUF,73.5,65,"Boom/Bust, Target",7
27,Davante Adams,WR,LAR,63,66,"Boom/Bust, High Upside",7
28,Jameson Williams,WR,DET,71.8,70,Boom/Bust,8
29,Terry McLaurin,WR,WAS,68.5,71,Safe,8
30,Tetairoa McMillan,WR,CAR,44.2,75,Avoid,8
31,Marvin Harrison Jr.,WR,ARI,91.2,76,"Avoid, Boom/Bust",9
32,KC Concepcion,WR,CLE,132.4,80,"High Upside, Target",11
33,Jordan Addison,WR,MIN,118.6,81,"Sleeper, Target, High Upside, Boom/Bust",9
34,Quentin Johnston,WR,LAC,127.4,82,"High Upside, Sleeper",9
35,Josh Downs,WR,IND,122.9,94,"Target, High Upside, Sleeper",10
36,Chris Godwin Jr.,WR,TB,107.1,95,"Target, Sleeper",10
37,Michael Wilson,WR,ARI,98.9,98,"Boom/Bust, High Upside, Sleeper",12
38,Michael Pittman Jr.,WR,PIT,121.5,99,"Sleeper, Target",10
39,Alec Pierce,WR,IND,115.7,100,,10
40,Jordyn Tyson,WR,NO,97.1,101,"Avoid, High Upside",8
41,Courtland Sutton,WR,DEN,94,102,Avoid,10
42,DK Metcalf,WR,PIT,89.2,103,"Avoid, Boom/Bust",10
43,Carnell Tate,WR,TEN,79.6,109,High Upside,10
44,Stefon Diggs,WR,WAS,125.9,110,"Sleeper, Target",10
45,De'Zhaun Stribling,WR,SF,143.2,111,"Sleeper, Target",11
46,Romeo Doubs,WR,NE,137.2,117,,11
47,Jayden Reed,WR,GB,119.3,122,"Boom/Bust, High Upside, Target",12
48,Denzel Boston,WR,CLE,158.3,123,"Target, Sleeper, High Upside",12
49,Deebo Samuel Sr.,WR,SF,139,125,,12
50,Matthew Golden,WR,GB,134.2,127,Boom/Bust,12
51,Brian Thomas Jr.,WR,JAX,89.4,138,"Avoid, Boom/Bust",12
52,Wan'Dale Robinson,WR,TEN,128.6,141,"Target, Safe",12
53,Makai Lemon,WR,PHI,105.1,142,High Upside,12
54,Jakobi Meyers,WR,JAX,123.2,143,,12
55,Jalen Coker,WR,CAR,146.9,145,"Target, Sleeper",12
56,Rashid Shaheed,WR,SEA,151.7,147,"Target, Sleeper, High Upside",12
57,Rashod Bateman,WR,BAL,269,153,"Sleeper, Target",12
58,Khalil Shakir,WR,BUF,140.3,154,,12
59,Adonai Mitchell,WR,NYJ,226.6,158,Sleeper,12
60,Jalen McMillan,WR,TB,193.4,164,Sleeper,12
61,Xavier Worthy,WR,KC,136.8,165,"Boom/Bust, Avoid",12
62,Jaylin Noel,WR,HOU,254.8,166,"Target, Sleeper",12
63,Pat Bryant,WR,DEN,233.7,168,Sleeper,12
64,Tre Tucker,WR,LV,213.6,169,Sleeper,12
65,Ryan Flournoy,WR,DAL,229.2,171,Sleeper,12
66,Cyrus Allen,WR,KC,204.2,173,"Sleeper, Target",12
67,Ja'Kobi Lane,WR,BAL,179,174,,12
68,Calvin Ridley,WR,TEN,264.6,176,Avoid,12
69,Keenan Allen,WR,IND,206.7,180,,12
70,Germie Bernard,WR,PIT,242.2,182,,12
71,Jack Bech,WR,LV,276.6,186,,12
72,Omar Cooper Jr.,WR,NYJ,183.8,187,,12
73,Antonio Williams,WR,WAS,231.3,188,Sleeper,12
74,Zachariah Branch,WR,ATL,222.1,189,,12
75,Travis Hunter,WR,JAX,184.9,190,,12
76,Kayshon Boutte,WR,HOU,228.2,192,,12
77,Jauan Jennings,WR,MIN,187.8,194,Avoid,12
78,Darnell Mooney,WR,NYG,278.5,198,,12
79,Dontayvion Wicks,WR,PHI,223.3,200,,12
80,Troy Franklin,WR,DEN,266.3,201,High Upside,12
81,Jerry Jeudy,WR,CLE,194.5,203,Boom/Bust,12
82,Jalen Nailor,WR,LV,182.9,205,Boom/Bust,12
83,Ted Hurst III,WR,TB,255.3,209,,12
84,Tre' Harris,WR,LAC,230.2,214,,12
85,Elijah Sarratt,WR,BAL,275.5,215,,12
86,Cooper Kupp,WR,SEA,233.8,217,,12
87,Jahan Dotson,WR,ATL,294.1,218,,12
88,Malik Washington,WR,MIA,208,221,,12
89,Xavier Hutchinson,WR,HOU,689.2,231,,
90,Chimere Dike,WR,TEN,273.8,232,,12
1,Brock Bowers,TE,LV,21.9,32,"High Upside, Target",4
2,Trey McBride,TE,ARI,20.8,35,Safe,4
3,Colston Loveland,TE,CHI,38.6,49,"Target, High Upside",7
4,Tyler Warren,TE,IND,49.3,62,"Target, High Upside, Safe",7
5,Tucker Kraft,TE,GB,77.2,67,"High Upside, Target",7
6,Dallas Goedert,TE,PHI,120.9,79,"Target, High Upside, Sleeper",8
7,Harold Fannin Jr.,TE,CLE,75.6,83,High Upside,9
8,Kyle Pitts Sr.,TE,ATL,78.6,84,"Boom/Bust, High Upside",9
9,Sam LaPorta,TE,DET,69.3,85,Boom/Bust,9
10,George Kittle,TE,SF,101,92,"High Upside, Boom/Bust",10
11,Dalton Kincaid,TE,BUF,93.6,93,"Sleeper, High Upside",10
12,Isaiah Likely,TE,NYG,113.5,118,"High Upside, Target, Sleeper",12
13,Travis Kelce,TE,KC,96,124,,12
14,Jake Ferguson,TE,DAL,107.9,126,Safe,12
15,Terrance Ferguson,TE,LAR,215.8,128,"Target, Sleeper",12
16,Chig Okonkwo,TE,WAS,154.9,129,"High Upside, Target, Sleeper",12
17,Juwan Johnson,TE,NO,147.3,144,"Target, Sleeper",12
18,Dalton Schultz,TE,HOU,152.9,151,"Sleeper, Target",12
19,Mark Andrews,TE,BAL,114.8,157,Safe,12
20,Kenyon Sadiq,TE,NYJ,148.9,160,"Sleeper, High Upside",12
21,Hunter Henry,TE,NE,131.1,172,,12
22,Brenton Strange,TE,JAX,134.4,179,Avoid,12
23,Greg Dulcich,TE,MIA,218.4,191,,12
24,Cade Otton,TE,TB,219.8,196,,12
25,Eli Raridon,TE,NE,291.3,204,,12
26,Michael Mayer,TE,LV,272.1,210,,12
27,T.J. Hockenson,TE,MIN,156,211,,12
28,Oronde Gadsden II,TE,LAC,130.6,220,Avoid,12
29,Colby Parkinson,TE,LAR,241.7,223,,12
30,Elijah Arroyo,TE,SEA,290.7,224,,12
