Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
172,Kaelon Black,RB,SF,194.1,192,,12
173,Caleb Douglas,WR,MIA,196.5,,,
174,Keenan Allen,WR,IND,197.6,185,,12
175,Tua Tagovailoa,QB,ATL,197.8,132,,12
176,Kirk Cousins,QB,LV,199.4,131,,12
177,Cyrus Allen,WR,KC,200.2,173,"Sleeper, Target",12
178,Malik Washington,WR,MIA,201.4,227,,12
179,Deshaun Watson,QB,CLE,202.4,138,,12
180,Tre Tucker,WR,LV,203.6,164,Sleeper,12
181,Kayshon Boutte,WR,HOU,204.2,165,,12
182,Terrance Ferguson,TE,LAR,205.4,128,"Target, Sleeper",12
183,Michael Penix Jr.,QB,ATL,206.5,184,,12
184,Emmett Johnson,RB,KC,206.7,160,,12
185,Dylan Sampson,RB,CLE,208.2,205,High Upside,12
186,Malachi Fields,WR,NYG,209,254,,12
187,Tank Dell,WR,HOU,210.4,266,,12
188,Shedeur Sanders,QB,CLE,211.9,182,,12
189,Dontayvion Wicks,WR,PHI,212.1,200,,12
190,Jauan Jennings,WR,MIN,213.2,197,Avoid,12
191,Jalen McMillan,WR,TB,214,152,Sleeper,12
192,Gunnar Helm,TE,TEN,215,235,,12
193,Braelon Allen,RB,NYJ,215.5,232,,12
194,Jerry Jeudy,WR,CLE,217.4,208,Boom/Bust,12
195,David Njoku,TE,LAC,218.6,,,
196,Nicholas Singleton,RB,TEN,219.9,224,,12
197,Zachariah Branch,WR,ATL,220.1,189,,12
198,Jayden Higgins,WR,HOU,221.4,,,
199,James Conner,RB,ARI,222,215,Avoid,12
200,Najee Harris,RB,NYG,227.8,166,,12
201,Darren Waller,TE,CAR,228.8,226,,12
202,Pat Freiermuth,TE,PIT,229.5,240,,12
203,Greg Dulcich,TE,MIA,231.3,190,,12
204,Cade Otton,TE,TB,232.5,195,,12
205,Cooper Kupp,WR,SEA,233.1,220,,12
206,Chris Bell,WR,MIA,233.3,179,,12
207,Carson Beck,QB,ARI,235,,,
208,Ray Davis,RB,BUF,236.7,149,"Target, High Upside",12
209,Adonai Mitchell,WR,NYJ,237.4,153,Sleeper,12
210,Ryan Flournoy,WR,DAL,238,172,Sleeper,12
211,Devaughn Vele,WR,NO,239.3,275,,12
212,Pat Bryant,WR,DEN,240.5,168,Sleeper,12
213,Will Howard,QB,PIT,240.9,,,
214,Isaac TeSlaa,WR,DET,241.7,245,,12
215,Tre' Harris,WR,LAC,242.6,214,,12
216,Kimani Vidal,RB,LAC,242.9,248,,12
217,Evan Engram,TE,DEN,244.9,,,
218,Germie Bernard,WR,PIT,245.1,187,,12
219,Antonio Williams,WR,WAS,246.4,191,Sleeper,12
220,Audric Estime,RB,NO,247.1,277,,12
221,Justice Hill,RB,BAL,247.8,298,,12
222,Tyreek Hill,WR,,248.2,238,Avoid,12
223,Jaydon Blue,RB,PHI,249.1,,,
224,Ty Simpson,QB,LAR,250.5,,,
225,Jarquez Hunter,RB,,250.6,271,,12
