Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
55,Jalen Coker,WR,CAR,152.7,144,"Target, Sleeper",12
56,Rashid Shaheed,WR,SEA,155.8,146,"Target, Sleeper, High Upside",12
57,Jalen McMillan,WR,TB,214,152,Sleeper,12
58,Adonai Mitchell,WR,NYJ,237.4,153,Sleeper,12
59,Rashod Bateman,WR,BAL,273.9,157,"Sleeper, Target",12
60,Khalil Shakir,WR,BUF,151.6,163,,12
61,Tre Tucker,WR,LV,203.6,164,Sleeper,12
62,Kayshon Boutte,WR,HOU,204.2,165,,12
63,Xavier Worthy,WR,KC,134.4,167,"Boom/Bust, Avoid",12
64,Pat Bryant,WR,DEN,240.5,168,Sleeper,12
65,Jaylin Noel,WR,HOU,269.9,170,"Target, Sleeper",12
66,Ryan Flournoy,WR,DAL,238,172,Sleeper,12
67,Cyrus Allen,WR,KC,200.2,173,"Sleeper, Target",12
68,Ja'Kobi Lane,WR,BAL,175,175,,12
69,Chris Bell,WR,MIA,233.3,179,,12
70,Calvin Ridley,WR,TEN,259.2,181,Avoid,12
71,Keenan Allen,WR,IND,197.6,185,,12
72,Jack Bech,WR,LV,287.6,186,,12
73,Germie Bernard,WR,PIT,245.1,187,,12
74,Omar Cooper Jr.,WR,NYJ,187.1,188,,12
75,Zachariah Branch,WR,ATL,220.1,189,,12
76,Antonio Williams,WR,WAS,246.4,191,Sleeper,12
77,Travis Hunter,WR,JAX,185.1,193,,12
78,Darnell Mooney,WR,NYG,291.6,194,,12
79,Jauan Jennings,WR,MIN,213.2,197,Avoid,12
80,Dontayvion Wicks,WR,PHI,212.1,200,,12
81,Troy Franklin,WR,DEN,286.7,202,High Upside,12
82,Jalen Nailor,WR,LV,179.7,204,Boom/Bust,12
83,Jerry Jeudy,WR,CLE,217.4,208,Boom/Bust,12
84,Ted Hurst III,WR,TB,254.9,213,,12
85,Tre' Harris,WR,LAC,242.6,214,,12
86,Elijah Sarratt,WR,BAL,290.5,216,,12
87,Jahan Dotson,WR,ATL,291.1,217,,12
88,Cooper Kupp,WR,SEA,233.1,220,,12
89,Malik Washington,WR,MIA,201.4,227,,12
90,Elic Ayomanor,WR,TEN,294.3,233,,12
1,Brock Bowers,TE,LV,21.9,33,"High Upside, Target",3
2,Trey McBride,TE,ARI,20.8,36,Safe,4
3,Colston Loveland,TE,CHI,39.9,49,"Target, High Upside",7
4,Tyler Warren,TE,IND,51.1,62,"Target, High Upside, Safe",7
5,Tucker Kraft,TE,GB,75.8,67,"High Upside, Target",7
6,Dallas Goedert,TE,PHI,120.1,78,"Target, High Upside, Sleeper",8
7,Harold Fannin Jr.,TE,CLE,76.2,82,High Upside,9
8,Kyle Pitts Sr.,TE,ATL,78.5,83,"Boom/Bust, High Upside",9
9,Sam LaPorta,TE,DET,67.5,84,Boom/Bust,9
10,George Kittle,TE,SF,96.2,85,"High Upside, Boom/Bust",9
11,Dalton Kincaid,TE,BUF,93.3,92,"Sleeper, High Upside",11
12,Isaiah Likely,TE,NYG,110.6,117,"High Upside, Target, Sleeper",12
13,Travis Kelce,TE,KC,94.1,123,,12
14,Jake Ferguson,TE,DAL,106.8,125,Safe,12
15,Chig Okonkwo,TE,WAS,178.4,126,"High Upside, Target, Sleeper",12
16,Terrance Ferguson,TE,LAR,205.4,128,"Target, Sleeper",12
17,Juwan Johnson,TE,NO,152.8,143,"Target, Sleeper",12
18,Dalton Schultz,TE,HOU,177,150,"Sleeper, Target",12
19,Mark Andrews,TE,BAL,116.4,156,Safe,12
20,Kenyon Sadiq,TE,NYJ,176.5,159,"Sleeper, High Upside",12
21,Hunter Henry,TE,NE,131.6,171,,12
22,Brenton Strange,TE,JAX,148.2,178,Avoid,12
23,Greg Dulcich,TE,MIA,231.3,190,,12
24,Cade Otton,TE,TB,232.5,195,,12
25,Eli Raridon,TE,NE,283.2,203,,12
26,Michael Mayer,TE,LV,284.6,209,,12
27,T.J. Hockenson,TE,MIN,157.3,210,,12
28,Oronde Gadsden II,TE,LAC,147.3,219,Avoid,12
29,Colby Parkinson,TE,LAR,255,222,,12
30,Elijah Arroyo,TE,SEA,276.1,223,,12
