Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
14,Ashton Jeanty,RB,LV,17.8,41,"High Upside, Safe",6
15,Jeremiyah Love,RB,ARI,33.4,46,"High Upside, Target",7
16,Travis Etienne Jr.,RB,NO,58.2,47,Safe,7
17,D'Andre Swift,RB,CHI,62.8,48,"Safe, Target",7
18,Bhayshul Tuten,RB,JAX,74.4,51,"Target, High Upside, Boom/Bust",7
19,Breece Hall,RB,NYJ,43.5,52,"High Upside, Target",7
20,Quinshon Judkins,RB,CLE,66,59,"Boom/Bust, Avoid",7
21,David Montgomery,RB,HOU,65.2,60,"Safe, Target",7
22,Bucky Irving,RB,TB,53,69,Avoid,8
23,Jadarian Price,RB,SEA,83.3,72,Target,8
24,Rhamondre Stevenson,RB,NE,92.7,73,Safe,8
25,J.K. Dobbins,RB,DEN,105.5,74,Avoid,8
26,Josh Jacobs,RB,GB,41.9,77,"Boom/Bust, Avoid, High Upside",8
27,Jordan Mason,RB,MIN,122,78,"Target, Sleeper",8
28,Cam Skattebo,RB,NYG,53.3,96,"Avoid, Boom/Bust",11
29,Jaylen Warren,RB,PIT,84.3,97,Target,11
30,Jonathon Brooks,RB,CAR,111.2,104,"Target, High Upside, Sleeper",12
31,TreVeyon Henderson,RB,NE,67.2,107,"Avoid, High Upside, Boom/Bust",12
32,Jacory Croskey-Merritt,RB,WAS,127.8,108,"Sleeper, Boom/Bust, High Upside",12
33,Tony Pollard,RB,TEN,96.5,116,,12
34,Blake Corum,RB,LAR,113.6,119,,12
35,MarShawn Lloyd,RB,GB,170.6,120,"Target, High Upside",12
36,Tank Bigsby,RB,PHI,187.5,121,High Upside,12
37,Rico Dowdle,RB,PIT,100.5,134,Boom/Bust,12
38,Kenny Gainwell,RB,TB,124.6,135,"Target, Sleeper",12
39,Rachaad White,RB,WAS,136.8,136,,12
40,RJ Harvey,RB,DEN,88.5,137,"Avoid, Boom/Bust, High Upside",12
41,Tyjae Spears,RB,TEN,181.3,140,"Sleeper, High Upside, Target",12
42,Keaton Mitchell,RB,LAC,185.2,146,"Sleeper, High Upside",12
43,Chuba Hubbard,RB,CAR,101.8,148,Avoid,12
44,Woody Marks,RB,HOU,149.7,149,Avoid,12
45,Ray Davis,RB,BUF,237,150,"Target, High Upside",12
46,Kyle Monangai,RB,CHI,112,152,Avoid,12
47,Tyler Allgeier,RB,ARI,138.3,155,,12
48,Jaydon Blue,RB,DAL,244.5,156,,12
49,Mike Washington Jr.,RB,LV,148.7,159,,12
50,Tyrone Tracy Jr.,RB,NYG,157.8,161,,12
51,George Holani,RB,SEA,284.6,162,,12
52,Najee Harris,RB,NYG,233.5,163,,12
53,Chris Rodriguez Jr.,RB,JAX,145.8,167,,12
54,Kaelon Black,RB,SF,199.9,170,,12
55,Dylan Sampson,RB,CLE,204.3,175,High Upside,12
56,Emari Demercado,RB,KC,313.4,178,,12
57,Emmett Johnson,RB,KC,209.4,181,,12
58,Jonah Coleman,RB,DEN,155.4,184,,12
59,Sean Tucker,RB,TB,263.4,193,,12
60,Aaron Jones Sr.,RB,MIN,132.9,199,Avoid,12
61,Alvin Kamara,RB,NO,179.4,202,,12
62,Samaje Perine,RB,CIN,272.5,206,High Upside,12
63,Kaytron Allen,RB,WAS,251.5,207,,12
64,James Conner,RB,ARI,224.5,208,Avoid,12
65,LeQuint Allen Jr.,RB,JAX,298.1,212,,12
66,Emanuel Wilson,RB,SEA,296.2,213,,12
67,Nicholas Singleton,RB,TEN,222.3,216,,12
68,Trey Benson,RB,ARI,264.4,219,,12
69,Kaleb Johnson,RB,GB,274.7,222,,12
70,Braelon Allen,RB,NYJ,217.8,225,,12
71,Zach Charbonnet,RB,SEA,151.8,226,,12
72,Joe Mixon,RB,,317.3,230,,12
1,Ja'Marr Chase,WR,CIN,4.9,4,"Target, High Upside",1
2,Puka Nacua,WR,LAR,5.9,5,"High Upside, Target",1
3,Amon-Ra St. Brown,WR,DET,10.9,12,"Target, High Upside, Safe",2
4,Jaxon Smith-Njigba,WR,SEA,6.3,13,High Upside,2
5,Justin Jefferson,WR,MIN,15.2,26,"High Upside, Target",3
6,Chris Olave,WR,NO,35.9,28,"Target, High Upside",3
7,Drake London,WR,ATL,26.7,31,Safe,3
8,CeeDee Lamb,WR,DAL,13.3,33,"High Upside, Safe",4
9,George Pickens,WR,DAL,31.2,34,"Target, High Upside",4
10,Nico Collins,WR,HOU,30.8,36,High Upside,4
11,A.J. Brown,WR,NE,24.9,40,"High Upside, Target",6
12,Malik Nabers,WR,NYG,34.6,42,"Boom/Bust, Target, High Upside",6
13,Tee Higgins,WR,CIN,46.4,43,"Target, High Upside",6
14,Garrett Wilson,WR,NYJ,56.4,44,"Safe, High Upside, Target",7
15,DeVonta Smith,WR,PHI,49.6,45,"Target, High Upside, Safe",7
16,Jaylen Waddle,WR,DEN,59.8,50,"Target, High Upside, Safe",7
17,Emeka Egbuka,WR,TB,57.6,53,"High Upside, Avoid",7
18,Luther Burden III,WR,CHI,64.7,54,"High Upside, Target",7
19,Zay Flowers,WR,BAL,50,55,"High Upside, Safe, Target",7
20,Rashee Rice,WR,KC,37.6,56,High Upside,7
21,Mike Evans,WR,SF,77.6,57,"High Upside, Target",7
22,Ladd McConkey,WR,LAC,52.1,58,"Target, High Upside, Boom/Bust",7
23,Christian Watson,WR,GB,80.4,61,"Target, High Upside",7
24,Parker Washington,WR,JAX,85.9,63,"Target, High Upside",7
25,Rome Odunze,WR,CHI,79,64,"High Upside, Target",7
26,DJ Moore,WR,BUF,70.9,65,"Boom/Bust, Target",7
27,Tetairoa McMillan,WR,CAR,44.8,66,Avoid,7
28,Davante Adams,WR,LAR,62.8,70,"Boom/Bust, High Upside",8
29,Jameson Williams,WR,DET,71.8,71,Boom/Bust,8
30,Terry McLaurin,WR,WAS,69.7,75,Safe,8
31,Alec Pierce,WR,IND,114.3,76,,8
32,Marvin Harrison Jr.,WR,ARI,89.2,80,"Avoid, Boom/Bust",9
33,KC Concepcion,WR,CLE,130.6,81,"High Upside, Target",9
34,Jordan Addison,WR,MIN,116.4,82,"Sleeper, Target, High Upside, Boom/Bust",9
35,Chris Godwin Jr.,WR,TB,103.8,94,"Target, Sleeper",11
36,Josh Downs,WR,IND,125.3,95,"Target, High Upside, Sleeper",11
37,Michael Wilson,WR,ARI,98.6,98,"Boom/Bust, High Upside, Sleeper",12
38,Quentin Johnston,WR,LAC,125.6,99,"High Upside, Sleeper, Target",12
39,Courtland Sutton,WR,DEN,94,100,Avoid,12
40,Michael Pittman Jr.,WR,PIT,120.7,101,"Sleeper, Target",12
41,DK Metcalf,WR,PIT,91.4,102,"Avoid, Boom/Bust",12
42,Jordyn Tyson,WR,NO,107.3,103,"Avoid, High Upside",12
43,Carnell Tate,WR,TEN,80.7,109,High Upside,12
44,Stefon Diggs,WR,WAS,123,110,"Sleeper, Target",12
45,De'Zhaun Stribling,WR,SF,139.6,111,"Sleeper, Target",12
46,Romeo Doubs,WR,NE,134.7,117,,12
47,Jayden Reed,WR,GB,115.4,122,"Boom/Bust, High Upside, Target",12
48,Denzel Boston,WR,CLE,156.8,123,"Target, Sleeper, High Upside",12
49,Brian Thomas Jr.,WR,JAX,89.5,125,"Avoid, Boom/Bust",12
50,Deebo Samuel Sr.,WR,SF,137.5,127,,12
51,Matthew Golden,WR,GB,133,138,Boom/Bust,12
52,Wan'Dale Robinson,WR,TEN,128.3,141,"Target, Safe",12
53,Makai Lemon,WR,PHI,102.9,142,High Upside,12
54,Jakobi Meyers,WR,JAX,129.6,143,,12
55,Jalen Coker,WR,CAR,147.7,145,"Target, Sleeper",12
56,Rashid Shaheed,WR,SEA,150.9,147,"Target, Sleeper, High Upside",12
57,Rashod Bateman,WR,BAL,260.7,153,"Sleeper, Target",12
58,Adonai Mitchell,WR,NYJ,224.4,154,Sleeper,12
59,Jalen McMillan,WR,TB,212.1,158,Sleeper,12
60,Khalil Shakir,WR,BUF,143.9,164,,12
61,Xavier Worthy,WR,KC,134.5,165,"Boom/Bust, Avoid",12
62,Jaylin Noel,WR,HOU,273.5,166,"Target, Sleeper",12
63,Pat Bryant,WR,DEN,242.6,168,Sleeper,12
64,Tre Tucker,WR,LV,205.3,169,Sleeper,12
65,Ryan Flournoy,WR,DAL,238.9,171,Sleeper,12
66,Cyrus Allen,WR,KC,197.1,173,"Sleeper, Target",12
67,Ja'Kobi Lane,WR,BAL,178.6,174,,12
68,Calvin Ridley,WR,TEN,260.8,176,Avoid,12
69,Keenan Allen,WR,IND,197.7,180,,12
70,Germie Bernard,WR,PIT,250.4,182,,12
71,Jack Bech,WR,LV,290.9,186,,12
72,Omar Cooper Jr.,WR,NYJ,188.9,187,,12
73,Zachariah Branch,WR,ATL,223.2,188,,12
74,Antonio Williams,WR,WAS,242.2,189,Sleeper,12
75,Travis Hunter,WR,JAX,186.9,190,,12
76,Kayshon Boutte,WR,HOU,211.5,192,,12
77,Jauan Jennings,WR,MIN,190.4,195,Avoid,12
78,Darnell Mooney,WR,NYG,295,198,,12
79,Dontayvion Wicks,WR,PHI,215.9,200,,12
80,Troy Franklin,WR,DEN,265,201,High Upside,12
81,Jerry Jeudy,WR,CLE,218.8,203,Boom/Bust,12
82,Jalen Nailor,WR,LV,182.9,205,Boom/Bust,12
83,Ted Hurst III,WR,TB,256.2,209,,12
84,Tre' Harris,WR,LAC,241.5,214,,12
85,Elijah Sarratt,WR,BAL,291.7,215,,12
86,Jahan Dotson,WR,ATL,291.1,217,,12
87,Malik Washington,WR,MIA,202.3,218,,12
88,Cooper Kupp,WR,SEA,236.7,221,,12
89,Chimere Dike,WR,TEN,283.9,231,,12
90,Xavier Legette,WR,CAR,321.3,234,,12
1,Brock Bowers,TE,LV,21.9,32,"High Upside, Target",3
2,Trey McBride,TE,ARI,20.3,35,Safe,4
3,Colston Loveland,TE,CHI,39.1,49,"Target, High Upside",7
4,Tyler Warren,TE,IND,51.7,62,"Target, High Upside, Safe",7
5,Tucker Kraft,TE,GB,75.6,67,"High Upside, Target",7
6,Dallas Goedert,TE,PHI,119,79,"Target, High Upside, Sleeper",8
7,Harold Fannin Jr.,TE,CLE,76,83,High Upside,9
8,Kyle Pitts Sr.,TE,ATL,78.4,84,"Boom/Bust, High Upside",9
9,Sam LaPorta,TE,DET,68.5,85,Boom/Bust,9
10,George Kittle,TE,SF,97.9,92,"High Upside, Boom/Bust",11
11,Dalton Kincaid,TE,BUF,93.1,93,"Sleeper, High Upside",11
12,Isaiah Likely,TE,NYG,109.6,118,"High Upside, Target, Sleeper",12
13,Travis Kelce,TE,KC,95.1,124,,12
14,Jake Ferguson,TE,DAL,106.3,126,Safe,12
15,Terrance Ferguson,TE,LAR,207,128,"Target, Sleeper",12
16,Chig Okonkwo,TE,WAS,179.8,129,"High Upside, Target, Sleeper",12
17,Juwan Johnson,TE,NO,146.6,144,"Target, Sleeper",12
18,Dalton Schultz,TE,HOU,176.5,151,"Sleeper, Target",12
19,Mark Andrews,TE,BAL,116.8,157,Safe,12
20,Kenyon Sadiq,TE,NYJ,152.3,160,"Sleeper, High Upside",12
21,Hunter Henry,TE,NE,131.6,172,,12
22,Brenton Strange,TE,JAX,142.4,179,Avoid,12
23,Greg Dulcich,TE,MIA,233.4,191,,12
24,Cade Otton,TE,TB,221.5,196,,12
25,Eli Raridon,TE,NE,287.2,204,,12
26,Michael Mayer,TE,LV,286.7,210,,12
27,T.J. Hockenson,TE,MIN,152,211,,12
28,Oronde Gadsden II,TE,LAC,140.2,220,Avoid,12
29,Colby Parkinson,TE,LAR,254.6,223,,12
30,Elijah Arroyo,TE,SEA,281.4,224,,12
